municipality,id,id_new,muni_type,gnis_id,county,outer,rr1,muni_type_numeric,marcellus,utica,population,land_area,density,high_school,unemployment,homeownership,inner,percap_acs,median_household,median_family,opponent,proponent,entrepreneurship,contested_entrepreneurship,entrepreneurship_binary,opponent_binary,proponent_binary,oban,omoratorium,ozoningpreventing,ozoningallowing,oroaduse,operformance,oresolutionopposing,onolease,oidontknow,oother,o_verballorwritten,obefore2008,o2008,o2009,o2010,o2011,o2012,o2013,o2014,o_dontknowyear,o_activitylevel5,o_controversy6,o_knowledge7,o_wellregarded8,o_livework9,o_otherissues10,o_occupation10,ooppositionretired,o_success12,o_binaryog12,oogmunicipalitybased,oogpublic,ooglandownercoalition,o_letteremail13,o_petitiom13,o_publicmtg13,o_officialsmuni13,o_officialsoutside13,o_orggroup13,o_presentation13,o_protest13,idontknow,o_other13,o_verbalwritten13,o_people14,o_officialsmunicipality_14,o_officialsregion14,o_prominentmunicipality14,oprominentregion,o_friendly14,o_wellrespected14,o_informedgovernment14,o_informedfracking14,o_time14,o_money14,pmoratorium,pzoningfacilitating,proaduse,pperformance,presolution,ppermittesting,please,pidontknow,pother,pverbalorwritten,pinaction,pbefore2008,p2008,p2009,p2010,p2011,p2012,p2013,p2014,p_dontknow_16,p_activitylevel17,p_controversy18,p_knowledge19,p_wellregarded20,p_livework21,p_otherissues22,p_occupation23,pretired,p_success24,p_binaryog26,pogmunicipalitybased,pogenergyco,pogpublic,poglandownercoalition,p_letteremail26,p_petition26,p_publicmtg26,p_officialsmuni26,p_officialsoutside26,p_orggroup26,p_presentation26,p_protest26,p_dontknow_26,p_other_26,p_verbalorwritten_26,ppeople,p_officialsmunicipality_27,pofficialsregion,pprominentmunicipality,pprominentregion,pfriendly,pwellrespected,pinformedgovernment,pinformedfracking,ptime,pmoney,view_self28,view_others29,change_others30,view_legislators31,change_legislators32,view_chief33,change_chief34,gender,age,years,education,othercompleted,duplicatemerge,shales,shalelayers,ambiguity_otherviews,ambiguity_changeotherviews,ambiguity_viewlegislators,ambiguity_changelegislators,ambiguity_viewchief,ambiguity_changechief,sum_ambiguity,sum_ambiguity_views,sum_ambiguity_change,nodatami2,agmi2,pasturemi2,forestmi2,urbanmi2,watermi2,o_controversy_split,p_controversy_split,ag_pasture,ag_pasture_forest,view_others_binary,view_legislators_binary,view_chief_binary,positive_comm_change,negative_comm_change,positive_leg_change,negative_leg_change,positive_chief_change,negative_chief_change,community_view_sum,community_trends_positive_sum,community_trends_negative_sum,view_self_binary,county_numeric,o_time14_binary,o_money14_binary,o_informedfracking14_binary,o_informedgovernment14_binary,o_wellrespected14_binary,o_friendly14_binary,o_prominentregion14_binary,o_prominentmunicipality14_binary,o_officialsregion14_binary,o_officialsmunicipality14_binary,p_time27_binary,p_money27_binary,p_informedfracking27_binary,p_informedgovernment27_binary,p_wellrespected27_binary,p_friendly27_binary,p_prominentregion27_binary,p_prominentmunicipality27_binary,p_officialsregion27_binary,p_officialsmunicipality27_binary,o_people14_binary,p_people27_binary,revenue_08,revenue_09,revenue_10,revenue_11,revenue_12,averagerevenues,percapitaaveragerevenue,number_activities,total_proponent_activities,total_opponent_activities,thousands_averagerevenue,percap_thousands,log_revenue,all_orgs,environmental_orgs,obama08,obama12,urbanpct,dem,wells,wells19902007,allproduction0812,one policy ,multi policies,1st ,2nd ,3rd ,4th,5th,6th,7th,number adopted anti,county A,county B,county C,year,policytype,policysubtype,stanceie,Month first anti,Start of year,Day of passage,Day subtract,Landowner Coalition?,Count of all post secondary Institutions,Count of institutions that offer at least a Bachelor's degree,dist_pa,dist_hway,waterwell_count,Matches Ban 0812,Matches Road 0812,Matches Moratoriums 0812,Matches Bans 0307,Matches Road 0307,Matches Moratoriums 0307,Matches Sustainability 0812,Matches Tourism 0812,Matches Sustainability 0307,Local government as involved agencies,,,,
Delanson,476,476,village,2.40E+06,Schenectady,Duanesburg,0,village,0,1,377,0.6,585.6,97.2,0.028,0.854545,1,29947,58036,60000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,0.000347,0.152549,0.015637,0.544867,0.241854,0.019807,,,0.168186,0.713054,,,,0,0,0,0,0,0,,0,0,,Schenectady,,,,,,,,,,,,,,,,,,,,,,,362961,373684,378099,400709,368350,376761,345.97,,,,376.761,29.947,5.93161,0,0,40.8,38.2,0.241854,39.5,0,0,0,,,,,,,,,,,Schenectady,Schenectady,Schenectady,,,,,,,,,0,0,0,126435.6438,1280,0,,1,,,1,,,,,,,,,
Delevan,712,712,village,2.40E+06,Cattaraugus,Yorkshire,1,village,1,1,1089,1,1095.6,87.3,0.051,0.596566,1,18312,33654,42039,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,1,2,0,0,0,0,0,0,0,0,0,0.001042,9.30444,5.48447,43.8142,2.26322,0.535833,,,14.7889,58.6031,0,0,0,0,0,0,0,0,0,0,0,0,0,Cattaraugus,,,,,,,,,,,,,,,,,,,,,,,2.60E+06,2.80E+06,2.40E+06,2.60E+06,2.80E+06,2.60E+06,514.64,,,,2633.42,18.312,7.87604,0,0,52.8,48.8,0.035253,50.8,0,0,0,,,,,,,,,,,Cattaraugus,Cattaraugus,Cattaraugus,,,,,,,,,0,0,0,54741.52494,33600,0,,,,,,,,,,,,,,
Delhi,372,372,village,2.40E+06,Delaware,Delhi,0,village,1,1,3087,3.1,982.5,88.9,0.171,0.610483,1,16975,32708,42692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,0.016332,24.8606,0.505601,18.4682,1.25167,4.53408,,,25.3662,43.8344,,,,0,0,0,0,0,0,,0,0,,Delaware,,,,,,,,,,,,,,,,,,,,,,,1.00E+06,1.20E+06,966836,1.10E+06,1.10E+06,1.10E+06,369.78,,,,1057.57,16.975,6.96373,0,0,43.5,41.1,0.024736,42.3,1,0,0,,,,,,,,,,,Delaware,Delaware,Delaware,,,,,,,,,1,0,0,47525.37698,21500,3,,4,2,,1,,1,,,,,,,
Depew,713,713,village,2.40E+06,Erie,"Cheektowaga, Lancaster",0,village,1,1,15303,5.1,3016,89.9,0.063,0.741599,1,24527,42232,50021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,0.097993,3.63477,2.49951,34.2109,1.76422,1.7524,,,6.13427,40.3452,,,,0,0,0,0,0,0,,0,0,,Erie,,,,,,,,,,,,,,,,,,,,,,,2.00E+06,1.90E+06,2.00E+06,1.80E+06,1.80E+06,1.90E+06,1104.49,,,,1890.89,24.527,7.5448,0,0,37.9,40.5,0.041028,39.2,0,0,0,,,,,,,,,,,Erie,Erie,Erie,,,,,,,,,0,0,0,101624.9108,4270,2,,6,2,,2,,,,,,,,,
Deposit,375,375,village,2.40E+06,"Broome, Delaware","Deposit, Sanford",1,village,1,1,1663,1.3,1316.8,88.8,0.087,0.52439,1,18439,24702,32016,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,2,3,2,3,2,2,5,5,3,,,1,2,1,1,1,1,1,1,6,3,3,0.000347,0.118495,0.013205,0.080966,0.129615,0.000695,,,0.131699,0.212665,0,0,0,0,0,0,0,0,0,0,0,0,0,"Broome, Delaware",,,,,,,,,,,,,,,,,,,,,,,575007,638861,635030,625604,640733,623047,1116.57,1,,,623.047,18.439,6.43462,0,0,44.4,41.5,0.432048,42.95,0,0,0,,,,,,,,,,,Broome,Delaware,Delaware,,,,,,,,,1,0,0,7154.85142,17600,4,,2,,,1,1,,,,,,,,
Dering Harbor,1327,1327,village,2.40E+06,Suffolk,Shelter Island,1,village,0,0,11,0.2,44.8,100,,,1,,33750,98750,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,8.19803,0.74398,19.5134,1.00217,1.47545,,,8.94201,28.4554,0,0,0,0,0,0,0,0,0,0,0,0,0,Suffolk,,,,,,,,,,,,,,,,,,,,,,,3.00E+06,282966,272785,270229,298392,829413,521.97,,,,829.413,,6.72072,0,0,44.4,41.5,0.032966,42.95,2,0,0,,,,,,,,,,,Suffolk,Suffolk,Suffolk,,,,,,,,,0,0,0,198960.4517,37900,,,1,,2,,,1,,,,,,,
DeRuyter,40,40,village,2.40E+06,Madison,DeRuyter,1,village,1,1,558,0.3,1622.2,91.5,0.058,0.617647,1,19836,31420,33333,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,5,7,5,3,5,2,4,1,3,,,1,2,1,0,0,0,1,0,2,2,0,0.000347,10.5961,0.43089,19.1388,1.51784,1.33854,,,11.027,30.1658,0,0,0,0,0,0,0,0,0,0,0,0,0,Madison,,,,,,,,,,,,,,,,,,,,,,,1.70E+06,1.70E+06,1.80E+06,1.70E+06,2.20E+06,1.80E+06,430.28,,,,1838.57,19.836,7.51674,0,0,42.2,42.7,0.046135,42.45,0,0,0,,,,,,,,,,,Madison,Madison,Madison,,,,,,,,,0,0,0,84563.28698,19700,0,,,,,,,,,,,,,,
Dexter,305,305,village,2.40E+06,Jefferson,Brownville,0,village,0,1,1052,0.7,1521.2,86.6,0.044,0.663462,1,19361,33482,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,0.000347,0.225175,0.001042,0.137607,0.288766,0.068108,,,0.226217,0.363824,,,,0,0,0,0,0,0,,0,0,,Jefferson,,,,,,,,,,,,,,,,,,,,,,,871724,916988,1.10E+06,1.00E+06,951395,967383,919.57,,,,967.383,19.361,6.8746,0,0,43.1,46.8,0.412523,44.95,0,0,0,,,,,,,,,,,Jefferson,Jefferson,Jefferson,,,,,,,,,0,0,0,223996.8809,8200,0,,4,,,,,,,,,,,,
Dobbs Ferry,1131,1131,village,2.40E+06,Westchester,Greenburgh,0,village,0,0,10875,2.4,4476.7,95.5,0.073,0.597168,1,49567,70333,93127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0,0.003475,0,0.372164,1.99182,0.039267,,,0.003475,0.375639,,,,0,0,0,0,0,0,,0,0,,Westchester,,,,,,,,,,,,,,,,,,,,,,,1.40E+07,1.50E+07,1.50E+07,1.50E+07,1.60E+07,1.50E+07,1375.39,,,,14957.4,49.567,9.61296,2,0,69.5,68.7,0.829927,69.1,0,0,0,,,,,,,,,,,Westchester,Westchester,Westchester,,,,,,,,,0,1,1,79316.25521,1210,1,1,4,,,5,2,1,,2,,,,,
Dolgeville,161,161,village,2.40E+06,"Fulton, Herkimer","Manheim, Oppenheim",0,village,0,1,2206,1.8,1232.1,88.1,0.071,0.582485,1,21125,30863,38646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,0,0.297801,0.053861,0.664057,0.697069,0.155676,,,0.351662,1.01572,,,,0,0,0,0,0,0,,0,0,,"Fulton, Herkimer",,,,,,,,,,,,,,,,,,,,,,,1.80E+06,1.90E+06,2.00E+06,2.10E+06,2.10E+06,2.00E+06,894.58,,,,1973.45,21.125,7.58754,0,0,40.3,40.8,0.38726,40.55,0,0,0,1,,1,,,,,,,1,Fulton,Herkimer,Herkimer,2012,1,2,Anti,7,1/1/2012,7/9/2012,190,0,0,0,131732.7657,9850,0,,1,1,,1,,,2,,,,,,
Dresden,909,909,village,2.40E+06,Yates,Torrey,1,village,1,1,308,0.3,1020.7,58.7,0.059,0.550562,1,20470,42500,40208,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,5,3,2,3,5,1,5,4,2,1,,1,2,1,0,1,1,1,0,4,3,1,0.002085,0.032664,0.00556,0.10251,0.136217,0.027452,,,0.038224,0.140734,0,0,0,0,0,0,0,0,0,0,0,0,0,Yates,,,,,,,,,,,,,,,,,,,,,,,370547,413643,420775,442994,410544,411701,1336.69,0,,,411.701,20.47,6.0203,0,0,49.4,52.8,0.454056,51.1,0,0,0,,,,,,,,,,,Yates,Yates,Yates,,,,,,,,,0,0,0,75815.59063,30200,0,,,,,2,1,1,,,,,,,
Dryden,42,42,village,2.40E+06,Tompkins,Dryden,0,village,1,1,1890,1.8,1076.2,94.8,0.05,0.652681,1,27195,43977,54489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,0.10251,22.9167,3.19137,54.2814,4.82562,5.97825,,,26.1081,80.3895,,,,0,0,0,0,0,0,,0,0,,Tompkins,,,,,,,,,,,,,,,,,,,,,,,1.70E+06,1.70E+06,1.80E+06,1.90E+06,2.00E+06,1.80E+06,127.47,0,,,1840.09,27.195,7.51757,0,0,61.1,61,0.051556,61.05,8,7,0,,,,,,,,,,,Tompkins,Tompkins,Tompkins,,,,,,,,,1,0,0,54759.76001,16500,5,,1,,,5,6,,,,,,,,
Dundee,1054,1054,village,2.40E+06,Yates,Starkey,0,village,1,1,1725,1.1,1534.7,86.5,0.089,0.502086,1,17500,26034,32446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,0,0.339847,0.074016,0.173051,0.477106,0.01112,,,0.413863,0.586914,,,,0,0,0,0,0,0,,0,0,,Yates,,,,,,,,,,,,,,,,,,,,,,,1.20E+06,1.30E+06,1.40E+06,1.40E+06,1.40E+06,1.30E+06,772.89,,,,1333.23,17.5,7.19536,1,0,47.9,45.6,0.433733,46.75,0,0,0,,,,,,,,,,,Yates,Yates,Yates,,,,,,,,,0,0,0,58029.23181,32600,0,,1,,,1,,,,,,,,,
Earlville,164,164,village,2.40E+06,"Chenango, Madison","Hamilton, Sherburne",0,village,1,1,872,1.1,807.8,92.8,0.019,0.751497,1,26669,32500,33654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,0.00139,0.515331,0.038919,0.278689,0.2217,0.020155,,,0.55425,0.832938,,,,0,0,0,0,0,0,,0,0,,"Chenango, Madison",,,,,,,,,,,,,,,,,,,,,,,136447,133709,417328,427680,488606,320754,367.84,,,,320.754,26.669,5.77068,0,0,54.6,54.85,0.201545,54.725,0,0,0,,,,,,,,,,,Chenango,Madison,multiple,,,,,,,,,0,0,0,82504.4646,42200,0,,1,,,,,1,,,,,,,
East Aurora,716,716,village,2.40E+06,Erie,Aurora,0,village,1,1,6236,2.5,2483,95.1,0.025,0.739502,1,36193,49028,59250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,0.005907,0.145252,0.007992,0.62896,1.59742,0.097993,,,0.153244,0.782204,,,,0,0,0,0,0,0,,0,0,,Erie,,,,,,,,,,,,,,,,,,,,,,,7.90E+06,8.30E+06,8.30E+06,8.50E+06,9.00E+06,8.40E+06,1349.63,,,,8416.3,36.193,9.03793,2,0,47.7,44.9,0.638968,46.3,0,0,0,,,,,,,,,,,Erie,Erie,Erie,,,,,,,,,0,1,1,85435.95075,15300,0,,,,,7,3,,,2,,,,,
East Hampton,1320,1320,village,2.40E+06,Suffolk,East Hampton,0,village,0,0,1083,4.8,227.3,97.4,0.029,0.805281,1,89381,56607,62500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,373.763,1.81113,0.030927,33.1758,19.65,13.7464,,,1.84205,35.0178,,,,0,0,0,0,0,0,,0,0,,Suffolk,,,,,,,,,,,,,,,,,,,,,,,7.70E+07,7.70E+07,9.10E+07,7.80E+07,8.50E+07,8.20E+07,3809.54,,,,81741.2,89.381,11.3113,0,0,64.8,63.1,0.264468,63.95,0,0,0,,,,,,,,,,,Suffolk,Suffolk,Suffolk,,,,,,,,,0,0,0,213892.4311,44900,,,14,,,20,,1,,,,,,,
East Hills,1272,1272,village,2.40E+06,Nassau,"North Hempstead, Oyster Bay",0,village,0,0,6955,2.3,3060.4,98.4,0.061,0.976969,1,89280,149726,159316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0.001042,0.000347,0,0.097298,2.14959,0.007645,,,0.000347,0.097645,,,,0,0,0,0,0,0,,0,0,,Nassau,,,,,,,,,,,,,,,,,,,,,,,8.80E+06,9.10E+06,9.20E+06,9.30E+06,1.00E+07,9.30E+06,1338.42,,,,9308.68,89.28,9.1387,0,0,55.6,52.9,0.934602,54.25,0,0,0,,,,,,,,,,,Nassau,Nassau,Nassau,,,,,,,,,0,0,0,109017.8968,1260,,,10,,,8,10,,,4,,,,,
East Nassau,479,479,village,2.40E+06,Rensselaer,Nassau,0,village,0,0,587,4.9,120.7,95.1,0.021,0.763699,1,30999,42250,48125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0.002432,0.270696,0.037182,3.92527,0.405871,0.076101,,,0.307878,4.23315,,,,0,0,0,0,0,0,,0,0,,Rensselaer,,,,,,,,,,,,,,,,,,,,,,,96183,97583,93378,96851,101115,97022,165.28,,,,97.022,30.999,4.57494,0,0,49.4,48.6,0.082831,49,0,0,0,,,,,,,,,,,Rensselaer,Rensselaer,Rensselaer,,,,,,,,,0,0,0,151895.9424,10100,23,,1,,,4,,1,,1,,,,,
East Rochester,910,910,village,2.40E+06,Monroe,East Rochester,0,village,0,1,6587,1.3,4972.6,89.7,0.092,0.656337,1,22659,39221,48553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,0.000695,0.026062,0.000347,0.073321,1.1853,0.013205,,,0.026409,0.09973,,,,0,0,0,0,0,0,,0,0,,Monroe,,,,,,,,,,,,,,,,,,,,,,,2.80E+06,6.50E+06,6.60E+06,7.20E+06,7.20E+06,6.10E+06,919.42,,,,6056.24,22.659,8.70884,0,0,56.9,59.4,0.911765,58.15,0,0,0,,,,,,,,,,,Monroe,Monroe,Monroe,,,,,,,,,0,0,0,123721.8378,1590,0,,,,,,,2,,2,,,,,
East Rockaway,1248,1248,village,2.40E+06,Nassau,Hempstead,0,village,0,0,9818,1,9658.3,92.8,0.072,0.704096,1,41458,59911,78363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0,0,0,0,1.05533,0.000347,,,0,0,,,,0,0,0,0,0,0,,0,0,,Nassau,,,,,,,,,,,,,,,,,,,,,,,7.80E+06,7.80E+06,8.10E+06,8.60E+06,8.20E+06,8.10E+06,827.3,,,,8122.46,41.458,9.00239,0,0,55.4,56,1.05533,55.7,0,0,0,,,,,,,,,,,Nassau,Nassau,Nassau,,,,,,,,,0,0,0,104229.8255,9200,,,7,5,,12,5,1,,,,,,,
East Syracuse,45,45,village,2.40E+06,Onondaga,DeWitt,0,village,0,1,3084,1.6,1901.2,84.1,0.081,0.446648,1,20611,28703,34293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,0.00417,0.018417,0.000695,0.082703,1.39692,0.072626,,,0.019112,0.101815,,,,0,0,0,0,0,0,,0,0,,Onondaga,,,,,,,,,,,,,,,,,,,,,,,5.50E+06,5.20E+06,4.90E+06,5.20E+06,4.70E+06,5.10E+06,1647.2,,,,5079.95,20.611,8.53306,3,0,59.5,60.8,0.873074,60.15,0,0,0,,,,,,,,,,,Onondaga,Onondaga,Onondaga,,,,,,,,,0,0,0,118531.9963,696,2,,5,,1,5,,,,,,,,,
East Williston,1278,1278,village,2.40E+06,Nassau,North Hempstead,0,village,0,0,2556,0.6,4494.6,98,0.042,0.972554,1,63944,109111,118611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0,0,0,0.002085,0.566412,0,,,0,0.002085,,,,0,0,0,0,0,0,,0,0,,Nassau,,,,,,,,,,,,,,,,,,,,,,,2.10E+06,2.30E+06,2.30E+06,2.50E+06,2.70E+06,2.40E+06,933.52,,,,2386.08,63.944,7.77741,0,0,55.6,52.9,0.94402,54.25,0,0,0,,,,,,,,,,,Nassau,Nassau,Nassau,,,,,,,,,0,0,0,111013.3078,2580,,,1,,,2,,,,,,,,,
Elba,720,720,village,2.40E+06,Genesee,Elba,1,village,0,1,676,1,664.9,89.3,0.028,0.781377,1,27468,47614,51042,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,0,0,0,0,0,0,0,0.031274,22.5811,0.6512,5.49559,1.65198,4.25504,,,23.2323,28.7279,0,0,0,0,0,0,0,0,0,0,0,0,0,Genesee,,,,,,,,,,,,,,,,,,,,,,,428381,428441,418502,396183,414568,417215,176.04,,,,417.215,27.468,6.0336,0,0,34.8,32.9,0.046404,33.85,7,2,0,,,,,,,,,,,Genesee,Genesee,Genesee,,,,,,,,,0,0,0,119885.5994,6440,1,,1,,,,,,,1,,,,,
Elbridge,46,46,village,2.40E+06,Onondaga,Elbridge,0,village,0,1,1058,1.1,939.9,96.1,0.054,0.796526,1,28437,44712,49539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,0.004865,0.305445,0.01668,0.386759,0.32421,0.030579,,,0.322125,0.708884,,,,0,0,0,0,0,0,,0,0,,Onondaga,,,,,,,,,,,,,,,,,,,,,,,1.90E+06,1.90E+06,2.10E+06,2.10E+06,2.00E+06,2.00E+06,1901.66,,,,2011.96,28.437,7.60686,0,0,48.4,49.8,0.294736,49.1,0,0,0,,,,,,,,,,,Onondaga,Onondaga,Onondaga,,,,,,,,,0,0,0,115398.0246,5020,0,,,,,2,,,,,,,,,
Ellenville,1342,1342,village,2.40E+06,Ulster,Wawarsing,0,village,1,1,4135,8.7,474,77.7,0.051,0.488629,1,18423,27474,40942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,0.026757,0.100078,0.00139,6.19891,1.1568,1.70549,,,0.101468,6.30038,,,,0,0,0,0,0,0,,0,0,,Ulster,,,,,,,,,,,,,,,,,,,,,,,4.80E+06,4.90E+06,4.70E+06,5.20E+06,5.90E+06,5.10E+06,1237.88,,,,5118.64,18.423,8.54064,0,0,57.5,58.8,0.132966,58.15,0,0,0,,,,,,,,,,,Ulster,Ulster,Ulster,,,,,,,,,0,0,0,43619.95802,16600,4,,1,,,2,,,,,,,,,
